"date","year","mon","name_p","ID","discharge","pred","generation","prec","spei_1","spei_3","STI_1","STI_2","t2max15D","t2max30D","dis15D","dis30D","ssi_1","ssi_3","ssi_6"
1979-01-01,"1979","01","Electra-Massa (EM)",2342,0.772538978494624,16.6924325716846,NA,71.625211225,-0.0743052666758301,0,-1.43397944785477,0,-5.38136099146652,-5.40369132096843,0.770134154495445,0.765471717468994,-1.39136748206266,NA,NA
1979-02-01,"1979","02","Electra-Massa (EM)",2342,0.735418154761905,13.6002271645022,NA,104.98955225,0.879510735179597,0,-0.228703753827216,-0.989395612773068,-2.62887238619048,-2.43796228175,0.73860496031746,0.741444692460317,-1.14130612156628,NA,NA
1979-03-01,"1979","03","Electra-Massa (EM)",2342,0.848603494623656,7.43499607483756,NA,273.780649436,1.9191625382411,1.55952329635635,-0.702453225354811,-0.550074518944382,-1.41405291780645,-1.62364264105376,0.842720878136201,0.833712768817204,-0.569769955882322,-1.12676547226324,NA
1979-04-01,"1979","04","Electra-Massa (EM)",2342,0.754115277777778,4.06323965511115,NA,32.677601976,-0.705818399312659,1.15660550757383,-1.73945700753333,-1.69810892967721,-0.274408812577778,-0.0377962371111111,0.744376944444444,0.729593703703704,-1.25663610449502,-1.24428783509441,NA
1979-05-01,"1979","05","Electra-Massa (EM)",2342,2.76987634408602,47.4707768817204,NA,89.104668032,-0.278101182779272,0.593292194937542,-0.828727517166424,-1.61915431621866,6.17772308083871,6.3968330615914,2.93672876344086,3.24117132616487,-0.246681880703378,-0.621706662760203,NA
1979-06-01,"1979","06","Electra-Massa (EM)",2342,6.26842083333333,103.16572037037,NA,52.088986281,-1.00693084535325,-1.3321750404003,-0.187058654374789,-0.624142382397728,11.3646068568889,11.0179917624444,5.9476175,5.63208115740741,0.383579282829793,-0.092108884843972,-0.322596920362848
1979-07-01,"1979","07","Electra-Massa (EM)",2342,3.56683064516129,211.378243105789,NA,16.964601092,-1.28927846485802,-1.27482952854073,-0.996209472539279,-0.747279020700751,13.028174944086,13.1186579556989,3.70474327956989,3.74903284050179,-0.423742676068055,-0.134788996460489,-0.349263663261696
1979-08-01,"1979","08","Electra-Massa (EM)",2342,3.55024327956989,186.796376000597,NA,187.74588408,1.75986396535098,0.0264337174812591,-1.5000105474639,-1.67686248828501,12.1131151421505,12.3431868624731,3.5706644265233,3.51754982078853,0.614795718136417,0.129036987816104,-0.128500876899104
1979-09-01,"1979","09","Electra-Massa (EM)",2342,1.97015,158.276748565723,NA,53.922617162,-0.194695049706331,0.217708480597704,-0.0221774855239725,-0.917586874330563,10.9444590428444,10.9488476820445,1.95923305555556,2.01914439814815,0.14584897385826,-0.0158726824054346,-0.086694637119747
1979-10-01,"1979","10","Electra-Massa (EM)",2342,3.24193010752688,66.5425595238095,NA,309.898940276,1.44265457585212,1.49966950679167,0.0105057622082686,-0.0091460420309497,7.13882784688172,6.46680004108602,3.21745609318996,3.16204431003584,1.1179543193737,0.784048110333962,0.231793227282373
1979-11-01,"1979","11","Electra-Massa (EM)",2342,1.84438055555555,10.1055644662264,NA,153.87562984,0.530059475029177,1.03118689132855,-0.482068299126227,-0.343792899555397,0.354086409155555,0.754194248201111,1.87507194444444,1.90897726851852,0.516072837046375,0.776384455202245,0.38301740237983
1979-12-01,"1979","12","Electra-Massa (EM)",2342,1.40000806451613,5.50588769817928,NA,228.86664578,2.01238526429786,1.71037939404787,0.0620711690851466,-0.263960098658916,-1.51823965801075,-1.87333376456021,1.39884068100358,1.38681362007168,0.433646593131849,0.919488771698216,0.351015950643877
1980-01-01,"1980","01","Electra-Massa (EM)",2342,1.09471505376344,4.73059256279943,NA,107.09414663,0.534520439891679,1.33423711843873,-0.94593306022189,-0.659259144546589,-4.67306719070968,-4.2380654486129,1.11262016129032,1.14595577956989,0.0965949232626323,0.394885437356597,0.729530800413411
1980-02-01,"1980","02","Electra-Massa (EM)",2342,1.18038936781609,5.68157987778858,NA,119.07141224,1.08396770074748,1.71020545600997,0.547737955326169,-0.148126646524402,-0.67346013645977,-0.999668085689655,1.16445718390805,1.13548534482759,0.723334552161269,0.425417878741073,0.706120730268012
1980-03-01,"1980","03","Electra-Massa (EM)",2342,1.04247043010753,2.75883270817949,NA,168.373405249,1.28657120433073,1.24255270026092,-0.696825982989185,0.0229986047024087,-1.2861630356129,-1.31441175721505,1.05496182795699,1.07352240143369,0.2618557565352,0.389023473582358,0.815755505904046
1980-04-01,"1980","04","Electra-Massa (EM)",2342,1.26611944444444,5.05855748113455,NA,12.072456774,-1.09401906000378,0.374082321169866,-2.0219977590771,-1.89173684333843,-0.384427562622222,0.234071784544445,1.26015157407407,1.26661837962963,-0.0177658457851803,0.249042155659809,0.334348945583995
1980-05-01,"1980","05","Electra-Massa (EM)",2342,2.03441935483871,27.5100167807103,NA,89.7263501912,-0.102541736560011,-0.306626219935061,-1.27650681892845,-2.07642355466894,5.1697805655914,4.97076970933333,2.04044130824373,2.30027177419355,-0.888158196262393,-0.640532012083677,-0.385059038456122
1980-06-01,"1980","06","Electra-Massa (EM)",2342,6.62320694444445,90.0292694444444,NA,124.549536973,1.00682222722696,-0.645094579863969,-1.95251368739671,-2.00063397726497,8.09618588355556,7.967866857,6.56919101851852,6.30278189814815,0.561983355347987,-0.0483807727990774,0.0137318493708154
1980-07-01,"1980","07","Electra-Massa (EM)",2342,6.8817123655914,158.03781922043,NA,146.275516089,1.45197998039682,0.854466630581161,-2.14755222540523,-2.66941316976749,10.9239284477419,11.0365077916129,6.9509438172043,7.08895586917563,1.21976273297324,0.549017682848584,0.523773054900959
