"date","year","mon","name_p","ID","discharge","pred","generation","prec","spei_1","spei_3","STI_1","STI_2","t2max15D","t2max30D","dis15D","dis30D","ssi_1","ssi_3","ssi_6"
1991-01-01,"1991","01","Emosson (ESA)",2053,6.77525672043011,71.219270899083,NA,92.151674314,-0.181212683953565,-0.39524575860714,0.507901210571062,-0.462172929974151,-1.26378954250877,-1.91483551385964,6.76907097868156,6.6818466826678,1.05195091691604,NA,NA
1991-02-01,"1991","02","Emosson (ESA)",2053,5.89621130952381,96.723573129933,NA,55.2477789265,-0.52333185025535,-0.853111519148079,-0.779940126714012,-0.28081919370013,-3.55181946011905,-2.83716717407143,5.92450545634921,6.09340024801587,0.372966962832621,NA,NA
1991-03-01,"1991","03","Emosson (ESA)",2053,7.5930765544647,23.081351922502,NA,108.55563430562,0.444910822848248,-0.305733053760289,0.851810250576719,-0.0995834265832524,2.97789725894624,3.01392162475269,7.6095798971482,7.52769804230949,1.12550315355455,0.940451756935679,NA
1991-04-01,"1991","04","Emosson (ESA)",2053,7.89558055555556,44.5972182081389,NA,76.658532262,-0.0559820417128787,-0.230555496032729,-0.788953872456109,0.046346795444603,1.86450054664445,1.92871308425556,7.95098830515298,7.90252242552335,0.371765192304904,0.641461155174584,NA
1991-05-01,"1991","05","Emosson (ESA)",2053,9.06366397849463,27.3771684507881,NA,58.5455434171,-0.434235618875656,-0.246415199390215,-1.74743699506591,-1.56254095980312,4.71627257772043,4.67886281295699,9.20683915770609,9.72539982078853,-1.27367223198096,-0.44543508028672,NA
1991-06-01,"1991","06","Emosson (ESA)",2053,20.4230625,33.4334371110535,NA,143.28548467355,1.14685294899337,0.236001860563236,-0.906067855946428,-1.64754430182535,11.2365869184444,11.637452732,19.9923228703704,19.8430687037037,-0.0035055191755188,-0.535930785795698,-0.154378778109817
1991-07-01,"1991","07","Emosson (ESA)",2053,21.0787325268817,29.9385381787833,NA,104.581506651,-0.225512728003316,0.141641127861295,0.731007750049303,-0.148386386061363,16.1060101498925,15.9566123690323,21.1824827060932,20.7681382616488,0.840668027008177,-0.153200233391746,0.0576911928417789
1991-08-01,"1991","08","Emosson (ESA)",2053,14.4838682795699,42.9520502286454,NA,35.62094669824,-1.96865871783714,-0.667863922496646,1.25904659404456,1.34070929298172,16.8840628270968,16.5400581932258,14.5052435483871,14.4551544354839,0.74858118003829,0.532540812200776,0.1044710457462
1991-09-01,"1991","09","Emosson (ESA)",2053,10.8601222222222,58.0738768263753,NA,88.47580741325,0.0693728093418829,-1.43654617087441,0.943824572746664,1.42420302325753,13.4688812984444,13.299211132,10.8745197222222,10.8561282407407,1.20886932672651,0.976771188885875,0.103592874902384
1991-10-01,"1991","10","Emosson (ESA)",2053,8.61157123655914,22.3479301344854,NA,107.090608919,0.260292130561931,-1.0380407384897,-1.17145100936063,-0.0631197721188779,5.14259042077419,5.1700250877957,8.67347204301075,8.78072051971326,0.756040750183705,1.1311185983783,0.15517542400009
1991-11-01,"1991","11","Emosson (ESA)",2053,7.19870416666667,68.0668447992379,NA,106.76293796013,0.28738917723393,0.220526354426013,-0.406024115720931,-1.16020052821344,0.879965832199999,0.797795492161111,7.17995416666667,7.14947990740741,0.490447916516151,0.911249496528229,0.756077396748816
1991-12-01,"1991","12","Emosson (ESA)",2053,6.50234274193548,82.8057009424603,NA,162.768328278,0.71323175549963,0.58794794103125,0.058527621374591,-0.224507544522324,-0.274557196526882,-0.0580140926720431,6.50932562724014,6.46437271505376,0.83287532013903,0.756575194766535,1.08991436503534
1992-01-01,"1992","01","Emosson (ESA)",2053,5.95870967741936,80.0497342311362,NA,12.418567451,-1.61721796298372,-0.477408384765393,0.831874191779147,0.628674474505953,-0.545190330795699,-0.379765402817204,5.95929605734767,6.0346434139785,0.477047959425286,0.650439123733092,1.00543497331486
1992-02-01,"1992","02","Emosson (ESA)",2053,5.84658045977011,69.5278781243262,NA,83.666275423,0.124731815633555,-0.6000896498711,0.46579774489563,0.810056906563364,-0.219835547793103,-0.149664150793104,5.86758409961686,5.86382921455939,0.338317603049184,0.598961455863444,0.84086174316571
1992-03-01,"1992","03","Emosson (ESA)",2053,5.85864475222066,69.5093749822897,NA,87.9546044643,0.0354469074843058,-1.1250335200372,0.0710122821663001,0.369759515984046,1.06059110744946,1.00215037958064,5.8471414835593,5.82803523842917,0.0602450689786651,0.296990315284784,0.588340621886022
1992-04-01,"1992","04","Emosson (ESA)",2053,6.95595833333333,45.5898004578262,NA,83.9797722309,0.0299508155907394,-0.0807528661588958,-0.0015325237971226,0.0478681493166371,3.73918324319111,3.70998099177778,6.91038985909823,7.20625038647343,-0.0264351409984997,0.0870353962819477,0.36504317142285
1992-05-01,"1992","05","Emosson (ESA)",2053,13.6085147849462,28.1588448244244,NA,39.182053485926,-1.61971799581463,-1.16300683377389,1.04509002437702,0.636176236867208,9.92972183182796,9.71611964913978,13.969251344086,13.9920018817204,-0.271687855297306,-0.204591785440018,0.0154659272259829
1992-06-01,"1992","06","Emosson (ESA)",2053,16.4178652777778,31.633059085852,NA,155.5809896955,1.33768615731712,-0.32664875797106,-1.42252431703155,-0.223942638406516,9.68024029577778,9.95129242188889,16.1517924074074,16.0347220833333,-0.920491069788677,-0.576779233615896,-0.39187934213987
1992-07-01,"1992","07","Emosson (ESA)",2053,16.7590362903226,35.6377063276377,NA,106.65419923,-0.0391508349690067,-0.363782466173763,-0.0750546501276093,-0.992260175601756,15.2050465726882,15.2390513545161,16.7372680107527,16.6201429659498,0.0398255357228618,-0.459747754229773,-0.352721897269182
